case	state	r_value	mass_mode	custom_mass_min_GeV	custom_mass_max_GeV	mDM_GeV	sigmav95_cm3_s	best_sigmav_cm3_s	best_alpha_sec	best_L_kpc	best_minus2loglike	lr_at_limit
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	6.4690000000e+01	4.5903684633e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401344481e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	8.8570000000e+01	9.6131964197e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400303853e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	1.2127000000e+02	2.5510846969e-25	1.2671626985e-26	1.0000000000e+00	1.9341225166e+00	7.1467704577e+01	3.8401636583e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	1.7366000000e+02	3.7785900789e-25	1.7885120960e-26	1.0000000000e+00	1.9230994943e+00	7.1467414145e+01	3.8402025044e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	2.3778000000e+02	1.4547228963e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400668947e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	3.2556000000e+02	8.5639012774e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401112259e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	4.4576000000e+02	8.7514262968e-26	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8400444282e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	6.1032000000e+02	1.1834632235e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402126631e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	8.3564000000e+02	1.8156001533e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8402232326e+00
onshell_4b_r0p8	4b	0.8	baseline-plus-edges	12.29	1000.0	1.0000000000e+03	2.4255185194e-25	0.0000000000e+00	1.0000000000e+00	2.0084652687e+00	7.1534013323e+01	3.8401064363e+00
onshell_4b_r0p9	4b	0.9	baseline-plus-edges	10.94	1000.0	1.0940000000e+01	3.0429323345e-25	8.3120133141e-26	1.0000000000e+00	1.9928208837e+00	6.7146903645e+01	3.8405718913e+00
