L_kpc	mDM_GeV	R_GV	flux
1	7	3.90471919e+01	0.00000000e+00
1	7	3.97493984e+01	0.00000000e+00
1	7	4.04642331e+01	0.00000000e+00
1	7	4.11919231e+01	0.00000000e+00
1	7	4.19326995e+01	0.00000000e+00
1	7	4.26867977e+01	0.00000000e+00
1	7	4.34544572e+01	0.00000000e+00
1	7	4.42359219e+01	0.00000000e+00
1	7	4.50314402e+01	0.00000000e+00
1	7	4.58412647e+01	0.00000000e+00
1	7	4.66656526e+01	0.00000000e+00
1	7	4.75048660e+01	0.00000000e+00
1	7	4.83591715e+01	0.00000000e+00
1	7	4.92288403e+01	0.00000000e+00
1	7	5.01141489e+01	0.00000000e+00
1	7	5.10153785e+01	0.00000000e+00
1	7	5.19328153e+01	0.00000000e+00
1	7	5.28667509e+01	0.00000000e+00
1	7	5.38174820e+01	0.00000000e+00
1	7	5.47853105e+01	0.00000000e+00
1	7	5.57705441e+01	0.00000000e+00
1	7	5.67734956e+01	0.00000000e+00
1	7	5.77944838e+01	0.00000000e+00
1	7	5.88338329e+01	0.00000000e+00
1	7	5.98918732e+01	0.00000000e+00
1	7	6.09689408e+01	0.00000000e+00
1	7	6.20653779e+01	0.00000000e+00
1	7	6.31815328e+01	0.00000000e+00
1	7	6.43177601e+01	0.00000000e+00
1	7	6.54744208e+01	0.00000000e+00
1	7	6.66518823e+01	0.00000000e+00
1	7	6.78505188e+01	0.00000000e+00
1	7	6.90707110e+01	0.00000000e+00
1	7	7.03128465e+01	0.00000000e+00
1	7	7.15773200e+01	0.00000000e+00
1	7	7.28645333e+01	0.00000000e+00
1	7	7.41748952e+01	0.00000000e+00
1	7	7.55088220e+01	0.00000000e+00
1	7	7.68667375e+01	0.00000000e+00
1	7	7.82490732e+01	0.00000000e+00
1	7	7.96562682e+01	0.00000000e+00
1	7	8.10887695e+01	0.00000000e+00
1	7	8.25470322e+01	0.00000000e+00
1	7	8.40315196e+01	0.00000000e+00
1	7	8.55427034e+01	0.00000000e+00
1	7	8.70810636e+01	0.00000000e+00
1	7	8.86470890e+01	0.00000000e+00
1	7	9.02412770e+01	0.00000000e+00
1	7	9.18641342e+01	0.00000000e+00
1	7	9.35161760e+01	0.00000000e+00
1	7	9.51979275e+01	0.00000000e+00
1	7	9.69099227e+01	0.00000000e+00
1	7	9.86527057e+01	0.00000000e+00
1	7	1.00426830e+02	0.00000000e+00
1	7	1.02232860e+02	0.00000000e+00
1	7	1.04071368e+02	0.00000000e+00
1	7	1.05942939e+02	0.00000000e+00
1	7	1.07848167e+02	0.00000000e+00
1	7	1.09787659e+02	0.00000000e+00
1	7	1.11762029e+02	0.00000000e+00
1	7	1.13771905e+02	0.00000000e+00
1	7	1.15817926e+02	0.00000000e+00
1	7	1.17900742e+02	0.00000000e+00
1	7	1.20021014e+02	0.00000000e+00
1	7	1.22179416e+02	0.00000000e+00
1	7	1.24376634e+02	0.00000000e+00
1	7	1.26613366e+02	0.00000000e+00
1	7	1.28890322e+02	0.00000000e+00
1	7	1.31208225e+02	0.00000000e+00
1	7	1.33567813e+02	0.00000000e+00
1	7	1.35969834e+02	0.00000000e+00
1	7	1.38415053e+02	0.00000000e+00
1	7	1.40904245e+02	0.00000000e+00
1	7	1.43438201e+02	0.00000000e+00
1	7	1.46017727e+02	0.00000000e+00
1	7	1.48643642e+02	0.00000000e+00
1	7	1.51316780e+02	0.00000000e+00
1	7	1.54037990e+02	0.00000000e+00
1	7	1.56808138e+02	0.00000000e+00
1	7	1.59628103e+02	0.00000000e+00
1	7	1.62498780e+02	0.00000000e+00
1	7	1.65421083e+02	0.00000000e+00
1	7	1.68395939e+02	0.00000000e+00
1	7	1.71424293e+02	0.00000000e+00
1	7	1.74507108e+02	0.00000000e+00
1	7	1.77645362e+02	0.00000000e+00
1	7	1.80840054e+02	0.00000000e+00
1	7	1.84092197e+02	0.00000000e+00
1	7	1.87402826e+02	0.00000000e+00
1	7	1.90772991e+02	0.00000000e+00
1	7	1.94203764e+02	0.00000000e+00
1	7	1.97696234e+02	0.00000000e+00
1	7	2.01251511e+02	0.00000000e+00
1	7	2.04870725e+02	0.00000000e+00
1	7	2.08555025e+02	0.00000000e+00
1	7	2.12305581e+02	0.00000000e+00
1	7	2.16123586e+02	0.00000000e+00
